Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL363086,5.44,0.91,214.27
CHEMBL367035,6.39,0.24,202.19
CHEMBL372231,6.42,2.7,379.48
CHEMBL3746031,5.66,4.13,577.32
CHEMBL3746142,6.3,3.82,560.32
CHEMBL3746516,5.0,4.1,596.3
CHEMBL3746559,5.34,4.1,596.3
CHEMBL3746640,5.3,3.64,592.34
CHEMBL3746923,5.55,3.5,574.35
CHEMBL374721,6.28,2.85,381.49
CHEMBL3747256,6.16,4.13,574.35
CHEMBL3747359,6.16,4.47,594.77
CHEMBL3747368,5.42,3.96,578.31
CHEMBL3785207,7.22,1.52,234.3
CHEMBL3785269,7.15,0.95,284.38
CHEMBL3785391,7.28,1.52,234.3
CHEMBL3786442,7.89,0.65,270.35
CHEMBL3786448,8.06,0.95,284.38
CHEMBL3786516,7.93,1.82,248.33
CHEMBL3786651,7.76,1.82,248.33
CHEMBL3786719,7.96,0.65,270.35
CHEMBL3786873,7.81,0.65,270.35
CHEMBL3786937,7.13,1.52,234.3
CHEMBL3787223,8.08,0.95,284.38
CHEMBL3787502,8.03,1.82,248.33
CHEMBL402794,4.17,6.43,390.56
CHEMBL4059816,6.3,4.04,566.72
CHEMBL4061017,8.73,2.29,381.52
CHEMBL4062231,9.21,0.8,382.51
CHEMBL4062557,5.0,2.83,448.59
CHEMBL4063719,7.19,-0.73,552.63
CHEMBL4064130,9.28,5.44,469.98
CHEMBL4064401,6.6,3.63,526.66
CHEMBL4067116,7.0,4.85,602.75
CHEMBL4067954,5.77,3.25,437.49
CHEMBL4068479,6.7,4.48,524.68
CHEMBL4069396,9.07,1.17,446.56
CHEMBL4069597,5.7,2.37,402.5
CHEMBL4070358,7.2,-0.72,612.68
CHEMBL4071193,6.6,3.51,553.68
CHEMBL4072105,9.1,1.19,396.54
CHEMBL4072122,9.33,4.69,480.53
CHEMBL4072315,4.85,-0.72,353.37
CHEMBL4073678,9.47,4.69,480.53
CHEMBL4073866,6.54,5.78,628.79
CHEMBL4075252,7.47,-0.73,582.66
CHEMBL4075535,9.39,5.55,514.43
CHEMBL4075581,7.35,-0.73,552.63
CHEMBL4075710,6.96,4.11,552.69
CHEMBL4077445,6.92,5.78,628.79
CHEMBL4078353,5.0,5.78,628.79
CHEMBL408,6.01,4.37,441.55
CHEMBL4081323,9.54,0.89,369.47
CHEMBL4081744,6.6,3.71,542.65
CHEMBL4083620,6.52,4.11,552.69
CHEMBL4085325,6.69,-2.61,392.46
CHEMBL4085932,7.19,3.24,512.63
CHEMBL4086863,6.7,4.26,554.71
CHEMBL4089189,9.19,2.04,367.5
CHEMBL4089618,6.89,4.47,538.71
CHEMBL408967,5.82,3.66,404.53
CHEMBL4090426,9.1,2.28,489.58
CHEMBL4090618,7.28,-0.73,552.63
CHEMBL4094577,6.49,3.97,540.68
CHEMBL4096770,7.26,-0.72,612.68
CHEMBL4097972,9.41,6.09,504.42
CHEMBL4098239,8.15,3.71,542.65
CHEMBL4098852,5.3,3.51,553.68
CHEMBL4099344,9.47,1.6,385.54
CHEMBL4100191,6.63,4.02,540.68
CHEMBL4100496,9.72,5.44,469.98
CHEMBL4102621,6.68,4.42,566.72
CHEMBL4103517,7.6,-0.73,582.66
CHEMBL4105008,9.82,5.44,469.98
CHEMBL414,5.233333333333333,0.03,201.19999999999996
CHEMBL4159498,4.42,4.48,402.48
CHEMBL4160867,5.04,5.48,457.34
CHEMBL4166636,4.61,4.08,433.45
CHEMBL4167235,4.44,4.08,433.45
CHEMBL4169120,4.19,5.32,438.51
CHEMBL4169670,4.87,4.82,422.89
CHEMBL4172916,4.57,4.3,403.46
CHEMBL4174859,4.85,4.08,433.45
CHEMBL4177378,4.92,5.47,444.56
CHEMBL4177384,4.84,4.79,416.46
